"","County","State","Pop2019","NumAbortions","PercentFemale","MedianIncome","PopFemale","abortionRate","abortPer1000","highlyRestrictive","PctDem","White","Hispanic","Black","Native","Asian","Pacific","Lon","Lat","distClinic","distMiles"
"24","Alpena County","Michigan",28405,24,0.507,43676,14401.335,0.00166651216710117,1.66651216710117,1,0.35,96,1.3,0.5,0.4,0.4,0.1,-83.6258,45.0349,418,36.5644292320912
"25","Anderson County","South Carolina",202558,291,0.519,54496,105127.602,0.00276806466107731,2.76806466107731,1,0.28,77.6,3.5,16,0.2,0.9,0,-82.6378,34.5193,149,59.1445437484457
"26","Anderson County","Texas",57735,24,0.388,48461,22401.18,0.00107137213307513,1.07137213307513,1,0.21,59.7,17.3,20.9,0.3,0.5,0,-95.6525,31.8133,178,68.9579670643176
"27","Andrews County","Texas",18705,10,0.488,74918,9128.04,0.00109552543590957,1.09552543590957,1,0.14,41.1,55.4,1.5,0.1,0.2,0.1,-102.6377,32.305,118,32.3935378322265
"28","Angelina County","Texas",86715,78,0.512,51750,44398.08,0.00175683272790175,1.75683272790175,1,0.26,61.2,21.5,14.7,0.1,1.1,0,-94.6119,31.2548,178,68.9579670643176
"29","Anson County","North Carolina",24446,40,0.48,40826,11734.08,0.00340887398074668,3.40887398074668,0,0.52,44.9,3.8,48.6,0.3,1.2,0,-80.1027,34.9738,297,31.3253444820287
"30","Antrim County","Michigan",23324,23,0.503,58317,11731.972,0.00196045473003175,1.96045473003175,1,0.37,95,2.1,0.3,0.8,0.3,0,-85.1402,44.9991,148,58.5153186347934
"31","Apache County","Arizona",71887,14,0.508,35386,36518.596,0.000383366326569619,0.383366326569619,0,0.66,18.5,6.1,0.5,72.8,0.3,0.1,-109.4888,35.3955,72,21.3221726118714
"32","Appling County","Georgia",18386,16,0.501,43821,9211.386,0.0017369807323241,1.7369807323241,1,0.21,69.6,9.7,17.9,0.6,0.8,0,-82.2889,31.7492,57,37.5800934160369
"33","Aransas County","Texas",23510,21,0.506,53085,11896.06,0.00176529035663909,1.76529035663909,1,0.24,67.7,27,1.6,0,2,0,-96.9934,28.1249,35,56.5214910559404
"34","Archer County","Texas",8553,1,0.508,63731,4344.924,0.00023015362294024,0.23015362294024,1,0.09,88.6,8.3,0.8,0.3,0.4,0,-98.6877,33.6153,487,41.5252365974914
"35","Arenac County","Michigan",14883,15,0.496,44017,7381.968,0.00203197846427944,2.03197846427944,1,0.31,94.9,2,0.5,1.3,0.4,0,-83.894,44.0647,418,36.5644292320912
"36","Armstrong County","Pennsylvania",64735,41,0.502,56259,32496.97,0.00126165608670593,1.26165608670593,1,0.23,97.3,0.7,1,0,0.2,0,-79.4645,40.8123,13,67.2315344701812
"37","Armstrong County","Texas",1887,0,0.515,64424,971.805,0,0,1,0.07,86.6,10,1.2,1.3,0,0,-101.3574,34.9649,358,68.9579670643176
"38","Ashe County","North Carolina",27203,8,0.509,41542,13846.327,0.000577770552436036,0.577770552436036,0,0.26,92.5,5.2,0.8,0.4,0.4,0,-81.5005,36.4345,482,36.5644292320912
"39","Ashland County","Ohio",53484,33,0.508,52554,27169.872,0.00121458062076995,1.21458062076995,1,0.25,96,1.3,0.8,0,0.6,0,-82.2707,40.846,483,37.5800934160368
"40","Ashland County","Wisconsin",15562,0,0.499,47202,7765.438,0,0,0,0.55,82.7,2.6,0.4,10.6,0.4,0,-90.6779,46.3161,404,49.6344462233669
"41","Ashtabula County","Ohio",97241,121,0.496,47388,48231.536,0.00250873204618654,2.50873204618654,1,0.37,89.9,4,3.4,0.2,0.5,0,-80.7483,41.7075,97,8.40898469495517
"42","Asotin County","Washington",22582,27,0.512,54776,11561.984,0.00233523934992472,2.33523934992472,0,0.36,91.2,3.6,0.4,0.9,0.9,0.1,-117.203,46.1918,525,66.6488820139457
"43","Atascosa County","Texas",51153,76,0.501,57309,25627.653,0.00296554663043081,2.96554663043081,1,0.32,34.2,63.5,0.7,0.1,0.4,0,-98.5272,28.8935,35,56.5214910559404
"44","Athens County","Ohio",65327,44,0.502,43621,32794.154,0.00134170254857009,1.34170254857009,1,0.57,89.7,1.8,2.5,0.2,2.8,0.1,-82.0452,39.3339,192,67.4921844506326
"45","Atkinson County","Georgia",8165,0,0.495,38581,4041.675,0,0,1,0.26,56.6,24.6,17.8,0.7,0,0,-82.8801,31.2971,219,53.623071340531
"46","Atoka County","Oklahoma",13758,0,0.48,41872,6603.84,0,0,0,0.14,71.8,3.4,3.7,11.4,0.7,0.1,-96.0378,34.3736,102,14.3459066664254
"47","Auglaize County","Ohio",45656,24,0.5,64227,22828,0.00105134045908533,1.05134045908533,1,0.18,96,1.6,0.4,0.2,0.5,0.1,-84.2217,40.5609,327,57.8682691882343
"48","Austin County","Texas",30032,32,0.501,68311,15046.032,0.00212680658927218,2.12680658927218,1,0.2,63.3,25.9,8.9,0,0.2,0,-96.2779,29.887,157,63.5148348882184
"49","Avery County","North Carolina",17557,12,0.456,45823,8005.992,0.00149887734087169,1.49887734087169,0,0.23,89,5.1,4.2,0.5,0.6,0,-81.9226,36.0765,482,36.5644292320912
"50","Bacon County","Georgia",11164,4,0.511,41807,5704.804,0.000701163440496816,0.701163440496816,1,0.13,73.6,8.5,14.6,0,0.9,0.2,-82.4527,31.5537,57,37.5800934160369
"51","Bailey County","Texas",7000,4,0.502,46174,3514,0.00113830392714855,1.13830392714855,1,0.22,34.6,62.7,1.5,0.1,0.9,0.2,-102.8299,34.0686,33,57.8682691882343
"52","Baker County","Georgia",3038,1,0.505,39515,1534.19,0.000651809749770237,0.651809749770237,1,0.42,52.1,5.4,41.3,0.2,0.6,0.5,-84.4447,31.3262,219,53.623071340531
